semana,raca,producao_kg
22,Gir,24.18
23,Gir,24.05
24,Gir,24.49
25,Gir,21.55
26,Gir,23.36
27,Gir,21.42
28,Gir,20.58
29,Gir,18.89
30,Gir,17.14
31,Gir,16.48
32,Gir,14.41
33,Gir,9.8
34,Gir,7.37
35,Gir,7.84
36,Gir,8.06
37,Gir,5.64
38,Gir,0.0
39,Gir,0.0
40,Gir,0.0
41,Gir,0.0
42,Gir,0.0
43,Gir,0.0
44,Gir,0.0
1,Holandesa,10.18
2,Holandesa,14.26
3,Holandesa,18.2
4,Holandesa,25.48
5,Holandesa,28.79
6,Holandesa,28.64
7,Holandesa,38.19
8,Holandesa,38.07
9,Holandesa,43.95
10,Holandesa,42.29
11,Holandesa,43.71
12,Holandesa,46.25
13,Holandesa,47.02
14,Holandesa,43.23
15,Holandesa,41.1
16,Holandesa,43.93
17,Holandesa,40.42
18,Holandesa,43.15
19,Holandesa,42.13
20,Holandesa,39.32
21,Holandesa,36.38
22,Holandesa,36.04
23,Holandesa,34.95
24,Holandesa,35.22
25,Holandesa,33.62
26,Holandesa,35.09
27,Holandesa,31.61
28,Holandesa,32.85
29,Holandesa,31.8
30,Holandesa,27.99
31,Holandesa,29.4
32,Holandesa,26.86
33,Holandesa,27.17
34,Holandesa,24.76
35,Holandesa,23.63
36,Holandesa,19.68
37,Holandesa,21.78
38,Holandesa,18.46
39,Holandesa,17.34
40,Holandesa,16.46
41,Holandesa,16.59
42,Holandesa,13.4
43,Holandesa,14.19
44,Holandesa,12.16
1,Jersey,9.3
2,Jersey,13.02
3,Jersey,15.09
4,Jersey,21.12
5,Jersey,24.46
6,Jersey,24.37
7,Jersey,27.67
8,Jersey,32.97
9,Jersey,32.88
10,Jersey,34.23
11,Jersey,37.35
12,Jersey,39.13
13,Jersey,35.91
14,Jersey,37.04
15,Jersey,32.68
16,Jersey,33.39
17,Jersey,32.64
18,Jersey,30.56
19,Jersey,29.98
20,Jersey,32.75
21,Jersey,29.39
22,Jersey,30.54
23,Jersey,29.31
24,Jersey,30.09
25,Jersey,26.83
26,Jersey,27.39
27,Jersey,27.61
28,Jersey,25.23
29,Jersey,25.47
30,Jersey,23.23
31,Jersey,22.41
32,Jersey,22.48
33,Jersey,21.53
34,Jersey,19.41
35,Jersey,18.33
36,Jersey,19.04
37,Jersey,15.22
38,Jersey,14.38
39,Jersey,16.71
40,Jersey,11.49
41,Jersey,10.81
42,Jersey,13.28
43,Jersey,11.64
44,Jersey,9.6
1,Gir,6.26
2,Gir,8.77
3,Gir,12.28
4,Gir,16.55
5,Gir,15.48
6,Gir,20.53
7,Gir,25.37
8,Gir,26.47
9,Gir,25.55
10,Gir,27.97
11,Gir,29.56
12,Gir,29.87
13,Gir,28.86
14,Gir,27.03
15,Gir,28.73
16,Gir,29.63
17,Gir,28.45
18,Gir,27.13
19,Gir,23.89
20,Gir,25.98
21,Gir,22.79
22,Gir,21.25
23,Gir,22.76
24,Gir,22.39
25,Gir,19.41
26,Gir,19.93
27,Gir,19.46
28,Gir,20.77
29,Gir,17.13
30,Gir,13.64
31,Gir,12.17
32,Gir,13.11
33,Gir,11.11
34,Gir,10.46
35,Gir,8.27
36,Gir,8.06
37,Gir,2.95
38,Gir,0.0
39,Gir,0.0
40,Gir,0.0
41,Gir,0.0
42,Gir,0.0
43,Gir,0.0
44,Gir,0.0
1,Holandesa,7.51
2,Holandesa,10.52
3,Holandesa,14.72
4,Holandesa,20.61
5,Holandesa,26.75
6,Holandesa,30.5
7,Holandesa,36.21
8,Holandesa,39.59
9,Holandesa,40.2
10,Holandesa,44.46
11,Holandesa,46.89
12,Holandesa,44.66
13,Holandesa,45.55
14,Holandesa,42.09
15,Holandesa,43.07
16,Holandesa,41.27
17,Holandesa,41.03
18,Holandesa,41.69
19,Holandesa,38.69
20,Holandesa,40.14
21,Holandesa,35.65
22,Holandesa,35.4
23,Holandesa,36.86
24,Holandesa,37.35
25,Holandesa,32.23
26,Holandesa,30.38
27,Holandesa,30.03
28,Holandesa,28.84
29,Holandesa,31.32
30,Holandesa,28.74
31,Holandesa,29.22
32,Holandesa,27.32
33,Holandesa,22.77
34,Holandesa,25.87
35,Holandesa,21.62
36,Holandesa,20.98
37,Holandesa,22.69
38,Holandesa,19.13
39,Holandesa,18.89
40,Holandesa,17.04
41,Holandesa,17.15
42,Holandesa,12.62
43,Holandesa,11.59
44,Holandesa,10.44
1,Jersey,7.9
2,Jersey,10.47
3,Jersey,14.66
4,Jersey,18.43
5,Jersey,24.77
6,Jersey,22.84
7,Jersey,26.97
8,Jersey,33.82
9,Jersey,32.52
10,Jersey,35.6
11,Jersey,34.81
12,Jersey,38.76
13,Jersey,33.78
14,Jersey,36.36
15,Jersey,33.33
16,Jersey,36.34
17,Jersey,33.04
18,Jersey,32.06
19,Jersey,30.48
20,Jersey,33.3
21,Jersey,29.38
22,Jersey,32.06
23,Jersey,31.14
24,Jersey,27.42
25,Jersey,27.14
26,Jersey,24.4
27,Jersey,24.25
28,Jersey,26.45
29,Jersey,23.66
30,Jersey,22.09
31,Jersey,19.66
32,Jersey,20.5
33,Jersey,18.48
34,Jersey,17.01
35,Jersey,19.67
36,Jersey,17.93
37,Jersey,18.58
38,Jersey,15.38
39,Jersey,14.85
40,Jersey,14.82
41,Jersey,13.21
42,Jersey,11.52
43,Jersey,12.47
44,Jersey,8.51
1,Gir,4.46
2,Gir,6.24
3,Gir,8.74
4,Gir,12.23
5,Gir,17.12
6,Gir,18.38
7,Gir,23.99
8,Gir,24.52
9,Gir,27.88
10,Gir,27.86
11,Gir,28.59
12,Gir,27.97
13,Gir,30.33
14,Gir,30.11
15,Gir,29.89
16,Gir,28.33
17,Gir,29.07
18,Gir,23.95
19,Gir,27.46
20,Gir,27.36
21,Gir,23.77
22,Gir,23.2
23,Gir,21.49
24,Gir,20.58
25,Gir,22.7
26,Gir,20.08
27,Gir,17.83
28,Gir,18.71
29,Gir,15.89
30,Gir,17.38
31,Gir,13.28
32,Gir,10.34
33,Gir,12.15
34,Gir,8.6
35,Gir,9.72
36,Gir,7.33
37,Gir,6.26
38,Gir,0.0
39,Gir,0.0
40,Gir,0.0
41,Gir,0.0
42,Gir,0.0
43,Gir,0.0
44,Gir,0.0
